device,method,config,power,batch,0,1,2,3,4,5,6,7,8,9
msp430,Baseline,mnist,0,0,2.383,2.382,2.383,2.383,2.383,2.382,2.382,2.382,2.382,2.382
msp430,HAWAII,mnist,0,1,7.908,7.908,7.907,7.907,7.908,7.907,7.908,7.907,7.908,7.908
msp430,HAWAII,mnist,0,2,5.073,5.073,5.073,5.073,5.073,5.073,5.073,5.073,5.073,5.073
msp430,HAWAII,mnist,0,4,3.653,3.653,3.653,3.653,3.653,3.652,3.653,3.653,3.653,3.653
msp430,JAPARI,mnist,0,1,3.805,3.794,3.805,3.794,3.805,3.794,3.805,3.794,3.805,3.794
msp430,JAPARI,mnist,0,2,3.347,3.336,3.347,3.336,3.347,3.336,3.347,3.336,3.347,3.336
msp430,JAPARI,mnist,0,4,3.147,3.136,3.147,3.136,3.147,3.136,3.147,3.136,3.147,3.136
msp430,Stateful,mnist,0,1,2.681,2.589,2.68,2.589,2.681,2.589,2.68,2.589,2.68,2.589
msp430,Stateful,mnist,0,2,2.576,2.54,2.576,2.539,2.576,2.539,2.576,2.54,2.576,2.54
msp430,Stateful,mnist,0,4,2.542,2.546,2.542,2.546,2.542,2.546,2.542,2.546,2.542,2.547
msp430,Baseline,cifar10,0,0,7.286,7.286,7.286,7.286,7.286,7.286,7.286,7.286,7.286,7.287
msp430,HAWAII,cifar10,0,1,30.422,30.422,30.421,30.421,30.42,30.42,30.42,30.419,30.42,30.421
msp430,HAWAII,cifar10,0,2,18.689,18.689,18.69,18.69,18.689,18.689,18.688,18.689,18.689,18.689
msp430,HAWAII,cifar10,0,4,12.807,12.807,12.807,12.807,12.807,12.807,12.806,12.806,12.807,12.806
msp430,JAPARI,cifar10,0,1,13.606,13.591,13.607,13.591,13.606,13.591,13.606,13.591,13.606,13.591
msp430,JAPARI,cifar10,0,2,11.375,11.363,11.374,11.363,11.375,11.363,11.375,11.363,11.374,11.362
msp430,JAPARI,cifar10,0,4,10.356,10.346,10.356,10.346,10.355,10.346,10.356,10.346,10.356,10.346
msp430,Stateful,cifar10,0,1,7.741,8.073,7.741,8.073,7.742,8.073,7.741,8.073,7.741,8.073
msp430,Stateful,cifar10,0,2,7.76,8.019,7.76,8.019,7.76,8.019,7.76,8.019,7.76,8.019
msp430,Stateful,cifar10,0,4,7.722,7.865,7.721,7.865,7.722,7.865,7.722,7.865,7.721,7.865
msp430,Baseline,kws,0,0,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655
msp430,HAWAII,kws,0,1,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786
msp430,HAWAII,kws,0,2,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721
msp430,HAWAII,kws,0,4,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689
msp430,JAPARI,kws,0,1,2.609,2.608,2.609,2.608,2.609,2.608,2.609,2.608,2.609,2.608
msp430,JAPARI,kws,0,2,1.415,1.414,1.415,1.414,1.415,1.414,1.415,1.414,1.415,1.414
msp430,JAPARI,kws,0,4,0.816,0.816,0.816,0.815,0.816,0.816,0.816,0.815,0.816,0.816
msp430,Stateful,kws,0,1,0.673,0.672,0.673,0.672,0.673,0.672,0.673,0.672,0.673,0.672
msp430,Stateful,kws,0,2,0.669,0.668,0.669,0.668,0.669,0.668,0.669,0.668,0.669,0.668
msp430,Stateful,kws,0,4,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668,0.668
msp430,HAWAII,mnist,8,1,21.18,21.822,22.061,22.01,21.838,21.927,21.871,22.219,21.934,22.404
msp430,JAPARI,mnist,8,1,9.607,9.656,9.912,9.697,9.817,9.925,10.29,9.565,9.502,9.816
msp430,Stateful,mnist,8,1,6.942,6.629,6.646,6.657,6.814,6.817,7.063,6.731,7.028,6.54
msp430,HAWAII,mnist,4,1,134.953,122.841,133.451,129.517,132.342,134.039,131.629,132.938,131.129,132.719
msp430,JAPARI,mnist,4,1,76.676,76.456,76.852,76.511,76.666,61.398,76.668,76.67,76.605,76.658
msp430,Stateful,mnist,4,1,46.015,47.964,47.103,49.662,46.020,50.725,46.841,51.711,46.576,47.861
msp430,HAWAII,mnist,4,2,79.457,81.358,80.627,79.854,80.038,78.725,80.442,82.03,81.348,82.258
msp430,HAWAII,mnist,4,4,54.769,56.817,55.094,55.99,56.912,54.096,57.042,56.31,55.808,57.032
msp430,JAPARI,mnist,4,2,54.988,52.261,52.199,51.373,53.837,56.716,57.768,54.963,49.9,55.92
msp430,JAPARI,mnist,4,4,54.073,56.915,59.05,54.015,60.176,58.159,60.711,59.56,59.802,58.651
msp430,HAWAII,cifar10,8,1,88.03,87.759,88.432,88.71,88.047,87.638,87.533,87.972,87.524,86.89
msp430,JAPARI,cifar10,8,1,36.735,36.922,36.455,36.554,36.425,36.916,36.564,36.508,37.184,36.055
msp430,Stateful,cifar10,8,1,20.027,20.951,20.091,21.095,20.33,21.01,20.341,20.889,20.452,20.84
msp430,HAWAII,cifar10,4,1,345.282,336.461,334.654,332.934,351.208,342.613,349.515,343.348,362.735,370.663
msp430,JAPARI,cifar10,4,1,210.17,207.038,216.325,216.301,216.294,200.873,200.873,200.863,216.324,200.854
msp430,Stateful,cifar10,4,1,86.614,81.657,81.109,78.623,78.022,79.26,81.111,80.155,82.802,85.658
